MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2023 to Jul 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Vietnamese Dong
,,23,1.4600,1.7055,1.3404,0.005457
,,24,1.4561,1.7023,1.3408,0.005451
,,25,1.4577,1.7037,1.3402,0.005447
,,26,1.4529,1.7029,1.3397,0.005442
,,29,1.4544,1.7036,1.3411,0.005457
,,30,1.4505,1.7019,1.3393,0.005473
,,31,1.4507,1.6997,1.3409,0.005491
,Feb,01,1.4483,1.6992,1.3395,0.005492
,,02,1.4529,1.7029,1.3358,0.005478
,,05,1.4491,1.6956,1.3444,0.005515
,,06,1.4466,1.6888,1.3465,0.005526
,,07,1.4453,1.6928,1.3433,0.005497
,,08,1.4488,1.6975,1.3438,0.005502
,,09,1.4507,1.6991,1.3469,0.005514
,,13,1.4486,1.6973,1.3460,0.005511
,,14,1.4465,1.7012,1.3504,0.005529
,,15,1.4459,1.6938,1.3481,0.005514
,,16,1.4494,1.6948,1.3471,0.005500
,,19,1.4493,1.6963,1.3449,0.005483
,,20,1.4497,1.6943,1.3464,0.005486
,,21,1.4529,1.6971,1.3430,0.005477
,,22,1.4545,1.6979,1.3436,0.005464
,,23,1.4535,1.7005,1.3428,0.005456
,,26,1.4549,1.7023,1.3448,0.005444
,,27,1.4588,1.7043,1.3441,0.005451
,,28,1.4577,1.7045,1.3454,0.005467
,,29,1.4571,1.7031,1.3446,0.005455
,Mar,01,1.4552,1.6995,1.3454,0.005458
,,04,1.4576,1.7023,1.3442,0.005445
,,05,1.4583,1.7050,1.3436,0.005440
,,06,1.4567,1.7049,1.3426,0.005433
,,07,1.4576,1.7027,1.3372,0.005414
,,08,1.4591,1.7071,1.3328,0.005402
,,11,1.4561,1.7103,1.3309,0.005400
,,12,1.4553,1.7058,1.3308,0.005401
,,13,1.4558,1.7045,1.3322,0.005402
,,14,1.4586,1.7048,1.3330,0.005398
,,15,1.4547,1.7034,1.3374,0.005410
,,18,1.4568,1.7033,1.3383,0.005419
,,19,1.4572,1.7049,1.3401,0.005421
,,20,1.4592,1.7081,1.3425,0.005419
,,21,1.4621,1.7110,1.3371,0.005398
,,22,1.4600,1.7031,1.3472,0.005432
